Enginge started!
GLFW Initialized!
Opengl Initialized!
640 360
{1373.8081 623.8612 1}
{1372.8081 623.8612 1}
{1371.8081 623.8612 1}
{1370.8081 623.8612 1}
{1369.8081 623.8612 1}
{1368.8081 623.8612 1}
{1367.8081 623.8612 1}
{1366.8081 623.8612 1}
{1365.8081 623.8612 1}
{1364.8081 623.8612 1}
{1363.8081 623.8612 1}
{1362.8081 623.8612 1}
{1361.8081 623.8612 1}
{1360.8081 623.8612 1}
{1359.8081 623.8612 1}
{1358.8081 623.8612 1}
{1357.8081 623.8612 1}
{1356.8081 623.8612 1}
{1355.8081 623.8612 1}
{1354.8081 623.8612 1}
{1353.8081 623.8612 1}
{1352.8081 623.8612 1}
{1351.8081 623.8612 1}
{1350.8081 623.8612 1}
{1349.8081 623.8612 1}
{1348.8081 623.8612 1}
{1347.8081 623.8612 1}
{1346.8081 623.8612 1}
{1345.8081 623.8612 1}
{1344.8081 623.8612 1}
{1343.8081 623.8612 1}
{1342.8081 623.8612 1}
{1341.8081 623.8612 1}
{1340.8081 623.8612 1}
{1339.8081 623.8612 1}
{1338.8081 623.8612 1}
{1337.8081 623.8612 1}
{1336.8081 623.8612 1}
{1335.8081 623.8612 1}
{1334.8081 623.8612 1}
{1333.8081 623.8612 1}
{1332.8081 623.8612 1}
{1331.8081 623.8612 1}
{1330.8081 623.8612 1}
{1329.8081 623.8612 1}
{1328.8081 623.8612 1}
{1327.8081 623.8612 1}
{1326.8081 623.8612 1}
{1325.8081 623.8612 1}
{1324.8081 623.8612 1}
{1323.8081 623.8612 1}
{1322.8081 623.8612 1}
{1321.8081 623.8612 1}
{1320.8081 623.8612 1}
{1319.8081 623.8612 1}
{1318.8081 623.8612 1}
{1317.8081 623.8612 1}
{1316.8081 623.8612 1}
{1315.8081 623.8612 1}
{1314.8081 623.8612 1}
{1313.8081 623.8612 1}
{1312.8081 623.8612 1}
{1311.8081 623.8612 1}
{1310.8081 623.8612 1}
{1309.8081 623.8612 1}
{1308.8081 623.8612 1}
{1307.8081 623.8612 1}
{1306.8081 623.8612 1}
{1305.8081 623.8612 1}
{1304.8081 623.8612 1}
{1303.8081 623.8612 1}
{1302.8081 623.8612 1}
{1301.8081 623.8612 1}
{1300.8081 623.8612 1}
{1299.8081 623.8612 1}
{1298.8081 623.8612 1}
{1297.8081 623.8612 1}
